NEARS,FARS,A,B,APLUSB,PHI
-0.003749620897116033,0.013957034790631777,-0.10711609095864626,-0.0914985672557977,-0.09294902821074778,-0.0014201560840042397
-0.06335075680344629,-0.013257989925665577,-0.6346666019809734,-0.40365406537303655,-0.36768010950835306,0.017000633677126332
-0.17954421276566968,-0.1085871003086391,-0.5027547093104604,-0.4728471530097223,-0.43630429495574863,0.009087391366495702
-0.14191957759334076,-0.10313842663747108,-0.07554252395716096,-0.17160246510272784,-0.16465583861597458,-0.001339653118015725
-0.041519291700875795,0.08104827722857967,0.2607661557489251,0.2280246577866774,0.2124007982160901,0.012943572076470313
0.039920619749427226,0.29082336088883,0.2570820536470025,0.2941385678686438,0.2866841642735803,0.028626843257369017
0.08967201817793445,0.31890811111646167,-0.019956558757765863,-0.014359982565272085,0.004292157375554386,0.01147138266843024
-0.012693611330006738,0.14764726414058976,-0.24852481594765846,-0.3018924186797781,-0.2662987469597904,-0.02584479656177064
-0.37955187959655334,-0.06199104449682314,-0.2819619264678674,-0.2928078316106303,-0.25822356057778706,-0.04801672019834363
-0.7988180031601795,-0.16286940377152953,-0.3895429972744447,-0.16661327494105962,-0.1346122312998112,-0.04992284263356775
-0.8465765715826766,-0.1334864151395205,-0.5965799578089881,-0.14919353711365474,-0.11682612096192674,-0.04630074081439724
-0.4145383416062489,-0.02739729931191321,-0.5422069390154433,-0.15225617562874352,-0.1274515836171003,-0.032449117294209726
0.10966829764929115,0.10756902006183154,-0.01877324597625319,0.010253795469868519,0.01870101784148038,0.004823210698889481
0.297991861420064,0.2319615164608286,0.46677111077324723,0.2704989535702022,0.27179545511277614,0.048348465040175585
0.12555296242661226,0.2600283331755888,0.5326151947425726,0.42441930710192133,0.42638877454719654,0.058045979236739396
-0.13994515635013516,0.08596383354838527,0.19687193477479986,0.3192662139275814,0.32282003988368335,0.019832948036989023
-0.27916284010816955,-0.2680041960331991,-0.24103862493870426,0.011312969776168412,0.010660260982217937,-0.0330658470876412
-0.20302529986371626,-0.5543709511682116,-0.34353612360095265,-0.20739222914759042,-0.22241481160998844,-0.053852788917207295
0.0910632521711147,-0.5022706512796907,0.16901192456400213,0.00017445150082673834,-0.041340428443441074,-0.030197118034769762
0.42285673652790173,-0.15098435391666004,0.930505977464053,0.5358491847123104,0.4706354247936752,0.006266811997123153
0.4627337373521384,0.13938347790712,1.054155609302321,0.7493472854843921,0.6949862287857688,0.018260114438236403
0.13126317812985547,0.08148971426649938,0.2591564886736362,0.22504528216681993,0.2196892290447464,0.0037964386874997503
-0.15284762538193913,-0.18210581793863445,-0.5176180849291251,-0.4595033950923542,-0.4342666691359145,-0.008172356416495987
0.07821175097048116,-0.21652479262906751,-0.29642904015531885,-0.39893981059887684,-0.39872635689919955,0.0041819550215886
0.6881897095818202,0.16530597170263056,0.7044757986475958,0.4260692979390607,0.3811050563047994,0.033679714690687534
1.0217045567020098,0.6185278160539257,1.3399149660864524,1.0675226935009925,1.012282423657828,0.05523362445775046
0.6734911626574509,0.6478600044328034,0.9420618280203106,0.7922790358015499,0.7607716907011478,0.04828828714453311
-0.07175361303447012,0.20466425418893103,-0.10470538491083149,-0.12664473083304878,-0.12496520802148733,0.013870307755439444
-0.6344214451939192,-0.2793405555811636,-0.9924175731237257,-0.8415390318933813,-0.7997554606751798,-0.02309370100269838
-0.7573384036987421,-0.43285827787307746,-1.3407008752004295,-0.8896721962559588,-0.8094488686605239,-0.03545568148741585
-0.6013540499679685,-0.30288732624638975,-1.1945535692084543,-0.5456130427206833,-0.46501835148307186,-0.02153357745196832
-0.4057706068687582,-0.13463065620548353,-0.6689763225073602,-0.37139041045880616,-0.3221485060597349,-0.0029796018290469645
-0.25904415044048634,-0.029488001518797945,-0.44219348637233624,-0.4166410262427804,-0.38755750030877134,0.004308044824786198
-0.13660033313030756,0.054663513726088395,0.14490154814956366,0.04968475719155735,0.006969094482879483,0.006004280826528897
0.002722682296072664,0.330329379463587,0.39957267701693505,0.4227906038180684,0.39808330109564216,0.014344878096200112
-0.007727486322212928,0.36479276744085914,0.3200485563150424,0.6230174477483694,0.6464783887098061,0.02567617277087612
-0.13667424532211955,0.19319195783798007,0.019551658198848642,0.40403323826587584,0.4571948988626126,0.02165997699119038
-0.4169596332675793,-0.045373053119945946,-0.4278191460541935,-0.1152909972395218,-0.06666737882992252,-0.002840430790047588
-0.5632530500886546,-0.16426350506926068,-0.703856995217802,-0.5303960082443493,-0.5036978288381266,-0.023314709008720375
-0.2887777117757134,-0.18670941323597143,-0.431634704640725,-0.468990668850118,-0.4750868055700228,-0.015515025029279457
0.1717885596593009,-0.2949285327856872,0.23794076869136216,-0.03243242755298033,-0.0783389131615566,0.004439585496326115
0.25034759140045587,-0.513949446311205,0.5777215794617293,0.2535613649746562,0.19094136387298888,-0.0009451076844767623
-0.13060788864284129,-0.5824103248699939,0.2511910990305513,0.11501856778543819,0.08202780009363145,-0.03093740196998169
-0.34800427055942157,-0.26030152741738066,-0.15508897201404334,-0.08599260799218933,-0.07221564496882096,-0.0419021733235916
0.06773389413510927,0.30037119696834863,0.06099130338096682,0.12385589312887638,0.14739814143374605,-0.011860409748224382
